lassoMSPE,lassono,ridgeMSPE,ssMSPE,ssno,fullMSPE,obs,pred
0.397,5,0.402,0.391,3.1,0.402,348,10
2.271,6,2.313,2.343,2.6,2.334,185,8
0.185,4.6,0.184,0.184,2.3,0.185,194,8
0.062,3.9,0.062,0.062,1.6,0.062,356,7
0.165,6.3,0.157,0.159,4.4,0.157,335,7
37600,3.5,35900,38600,1.5,40600,77,8
0.283,0.7,0.292,0.392,3.2,0.376,26,8
9.246,3.5,11.17,10.73,2.6,9.817,51,7
1.078,6.4,1.073,1.142,4.2,1.07,310,7
0.354,6.3,0.348,0.347,2.8,0.349,870,8
0.27,4.4,0.27,0.279,2.9,0.271,311,5
0.252,3.3,0.237,0.241,1.9,0.274,66,8
